symbol,market,cname,ename
BILI,UW,嗶哩嗶哩股份有限公司,BILIBILI INC-SPONSORED ADR
REAL,UW,RealReal公司,REALREAL INC/THE
DLTR,UW,錢樹商店公司,DOLLAR TREE INC
ROKU,UW,Roku公司,ROKU INC
SEDG,UW,所樂太陽能科技,SOLAREDGE TECHNOLOGIES INC
TLRY,UW,Tilray品牌公司,TILRAY BRANDS INC
PLUG,UR,普拉格能源公司,PLUG POWER INC
AAXJ,UQ,iShares MSCI亞洲(除日本)ETF,ISHARES MSCI ALL COUNTRY ASI
ACWI,UQ,iShares MSCI ACWI ETF,ISHARES MSCI ACWI ETF
DVY,UQ,iShares安碩精選高股利ETF,ISHARES SELECT DIVIDEND ETF
EEMA,UQ,iShares安碩MSCI新興亞洲交易,ISHARES MSCI EMERG MRKT ASIA
EMB,UQ,iShares安碩摩根大通美元新興,ISHARES JP MORGAN USD EMERGI
EUFN,UQ,iShares MSCI歐洲金融ETF,ISHARES MSCI EUROPE FINANCIA
IBB,UQ,iShares安碩生技交易所交易基,ISHARES BIOTECHNOLOGY ETF
IEF,UQ,iShares安碩7-10年公債ETF,ISHARES 7-10 YEAR TREASURY B
IEI,UQ,iShares安碩3-7年公債ETF,ISHARES 3-7 YEAR TREASURY BO
MCHI,UQ,iShares安碩MSCI中國ETF,ISHARES MSCI CHINA ETF
QQQ,UQ,景順QQQ信託系列1,INVESCO QQQ TRUST SERIES 1
SHY,UQ,iShares安碩1-3年公債ETF,ISHARES 1-3 YEAR TREASURY BO
SLQD,UQ,iShares安碩0-5年投資等級公司,ISHARES 0-5 YR INV GRD CORP
SMH,UQ,VanEck半導體ETF,VANECK SEMICONDUCTOR ETF
TLT,UQ,iShares安碩20年以上公債ETF,ISHARES 20+ YEAR TREASURY BD
VCSH,UQ,領航短期公司債ETF,VANGUARD S/T CORP BOND ETF
VONE,UQ,Vanguard Russell 1000,VANGUARD RUSSELL 1000
VTHR,UQ,Vanguard Russell 3000,VANGUARD RUSSELL 3000
VTWO,UQ,先鋒羅素2000指數ETF,VANGUARD RUSSELL 2000 ETF
CRSP,UQ,CRISPR治療公司,CRISPR THERAPEUTICS AG
SOXX,UQ,iShares安碩半導體交易所交易,ISHARES SEMICONDUCTOR ETF
ENPH,UQ,Enphase能源公司,ENPHASE ENERGY INC
AGG,UP,iShares安碩核心美國綜合債券E,ISHARES CORE U.S. AGGREGATE
ASHR,UP,Xtrackers Harvest滬深300中國,XTRACKERS HARVEST CSI 300 CH
CGW,UP,Invesco S&P Global Water Ind,INVESCO S&P GLOBAL WATER IND
DBJP,UP,Xtrackers MSCI日本避險股票ET,XTRACKERS MSCI JAPAN HEDGED
DVYE,UP,iShares安碩新興市場高股利ETF,ISHARES EMERGING MARKETS DIV
EEM,UP,iShares MSCI新興市場ETF,ISHARES MSCI EMERGING MARKET
EIDO,UP,iShares安碩MSCI印尼交易所交,ISHARES MSCI INDONESIA ETF
EWA,UP,iShares MSCI澳洲ETF,ISHARES MSCI AUSTRALIA ETF
EWC,UP,iShares MSCI加拿大ETF,ISHARES MSCI CANADA ETF
EWG,UP,iShares MSCI德國ETF,ISHARES MSCI GERMANY ETF
EWJ,UP,iShares MSCI日本ETF,ISHARES MSCI JAPAN ETF
EWM,UP,iShares MSCI馬來西亞ETF,ISHARES MSCI MALAYSIA ETF
EWP,UP,iShares MSCI西班牙上限ETF,ISHARES MSCI SPAIN ETF
EWS,UP,iShares安碩MSCI新加坡ETF,ISHARES MSCI SINGAPORE ETF
EWT,UP,iShares安碩MSCI台灣ETF,ISHARES MSCI TAIWAN ETF
EWW,UP,iShares安碩MSCI墨西哥ETF,ISHARES MSCI MEXICO ETF
EWZ,UP,iShares安碩MSCI巴西ETF,ISHARES MSCI BRAZIL ETF
FEZ,UP,思柏達歐盟STOXX 50 ETF,SPDR EURO STOXX 50 ETF
FXI,UP,iShares中國大型股ETF,ISHARES CHINA LARGE-CAP ETF
GDX,UP,VanEck黃金礦業交易所交易基金,VANECK GOLD MINERS ETF
GDXJ,UP,VanEck小型黃金礦業ETF,VANECK JUNIOR GOLD MINERS
GLD,UP,SPDR金ETF,SPDR GOLD SHARES
HEWJ,UP,iShares貨幣避險MSCI日本ETF,ISHA CURR HEDGED MSCI JAPAN
HYG,UP,iShares安碩iBoxx高收益公司債,ISHARES IBOXX HIGH YLD CORP
IEMG,UP,iShares核心MSCI新興市場ETF,ISHARES CORE MSCI EMERGING
IJH,UP,iShares安碩核心標普中型股ETF,ISHARES CORE S&P MIDCAP ETF
IJR,UP,iShares安碩核心標普小型股ETF,ISHARES CORE S&P SMALL-CAP E
IOO,UP,iShares全球100 ETF,ISHARES GLOBAL 100 ETF
IVV,UP,iShares安碩核心標普500 ETF,ISHARES CORE S&P 500 ETF
IWM,UP,iShares安碩羅素2000交易所交,ISHARES RUSSELL 2000 ETF
IWV,UP,iShares安碩羅素3000 ETF,ISHARES RUSSELL 3000 ETF
KBE,UP,SPDR標普銀行ETF,SPDR S&P BANK ETF
LQD,UP,iSharesiBoxx$投資級公司債ETF,ISHARES IBOXX INVESTMENT GRA
MDY,UP,SPDR標普中型股400ETF信託,SPDR S&P MIDCAP 400 ETF TRST
OIH,UP,VanEck石油服務ETF,VANECK OIL SERVICES ETF
RWO,UP,SPDR道瓊全球不動產ETF,SPDR DJ GLOBAL REAL ESTATE E
SLV,UP,iShares白銀信託,ISHARES SILVER TRUST
SPIB,UP,SPDR投資組合中期公司債券ETF,SPDR PORT INT CORP BOND ETF
SPTL,UP,SPDR投資組合長期公債ETF,SPDR PORT LNG TRM TRSRY
SPY,UP,SPDR標普500交易所交易基金信,SPDR S&P 500 ETF TRUST
TIP,UP,iShares安碩抗通膨債券ETF,ISHARES TIPS BOND ETF
URTH,UP,iShares MSCI全球ETF,ISHARES MSCI WORLD ETF
VIOO,UP,Vanguard S&P Small-Cap 600 E,VANGUARD S&P SMALL-CAP 600 E
VNQ,UP,領航不動產ETF,VANGUARD REAL ESTATE ETF
VOO,UP,先鋒標普500ETF,VANGUARD S&P 500 ETF
VYM,UP,領航高股利收益ETF,VANGUARD HIGH DVD YIELD ETF
XBI,UP,SPDR標普生技ETF,SPDR S&P BIOTECH ETF
XLE,UP,能源精選行業SPDR基金,ENERGY SELECT SECTOR SPDR
XLF,UP,思柏達金融指數基金,FINANCIAL SELECT SECTOR SPDR
XLK,UP,思柏達科技指數基金,TECHNOLOGY SELECT SECT SPDR
